Vertex Idx	Current Accumulated Length (km)
1992	 	214.721670
1949	 	216.492070
2215	 	217.834860
2216	 	222.628200
2217	 	223.288200
2218	 	226.528630
2219	 	228.517310
2220	 	229.666340
2221	 	230.447740
2222	 	232.065560
2174	 	233.556120
2518	 	240.163700
2519	 	245.858460
2520	 	247.504520
2521	 	248.048290
2522	 	251.430470
2523	 	254.036690
2524	 	256.513480
2525	 	258.289330
2526	 	260.379970
2527	 	261.443200
2514	 	262.238880
2515	 	264.518800
2516	 	268.307110
2517	 	268.952560
2513	 	270.380950
2512	 	271.450640
2532	 	272.435950
2533	 	273.359410
2847	 	274.332730
2848	 	274.956080
2849	 	275.611700
2850	 	279.413850
2851	 	281.068310
2852	 	283.307880
2853	 	285.717370
2854	 	286.106030
2855	 	287.319460
2856	 	287.764040
2857	 	289.607920
2858	 	292.995650
2859	 	293.834320
2860	 	294.783690
3186	 	296.025210
3185	 	298.188820
3184	 	299.222460
3183	 	300.242770
3182	 	300.682120
3181	 	300.752770
3180	 	301.367100
3179	 	303.147870
3178	 	304.252070
3177	 	305.809470
3176	 	308.919370
3175	 	309.767490
3174	 	310.131100
3173	 	311.320630
3172	 	313.357420
3171	 	314.649060
3425	 	319.143650
3426	 	319.687760
3427	 	320.726250
3428	 	322.145690
3429	 	323.036970
3430	 	324.151460
3431	 	325.271200
3432	 	325.855980
3433	 	326.502250
3434	 	328.436600
3435	 	328.596550
3436	 	330.906880
3437	 	331.415880
3438	 	334.317760
3439	 	336.409860
3440	 	337.804750
3441	 	339.679610
3442	 	341.015730
3443	 	341.426090
3444	 	342.102130
3445	 	342.538380
3446	 	343.564490
3447	 	346.703610
3630	 	348.958530
3631	 	349.790920
3632	 	350.999360
3633	 	352.992950
3634	 	354.174900
3635	 	354.505230
3636	 	355.887220
3637	 	356.955520
3638	 	358.994110
3639	 	360.066760
3640	 	361.433320
3641	 	363.405790
3642	 	365.848560
3643	 	367.545820
3644	 	367.784900
3645	 	368.484220
3646	 	370.032660
3647	 	371.449830
3648	 	373.030180
3674	 	373.582570
3675	 	374.240360
3676	 	374.771450
3677	 	375.382600
3678	 	376.127270
3679	 	377.406740
3673	 	378.278380
3672	 	378.333300
3857	 	378.820700
3858	 	380.969140
3859	 	383.367080
3860	 	386.582690
3861	 	388.019710
3862	 	388.614460
3863	 	389.879500
3782	 	392.376290
4137	 	394.208090
4138	 	395.108900
4139	 	396.162580
4140	 	397.088280
4141	 	398.440930
4142	 	399.207090
4143	 	400.650060
4144	 	402.300290
4145	 	402.677320
4146	 	404.333540
4147	 	405.086290
4148	 	405.781130
4149	 	407.558540
4150	 	409.211740
4151	 	410.725110
4152	 	411.839430
4153	 	412.713400
4154	 	414.234960
4155	 	415.060310
4156	 	416.556080
4157	 	417.528280
4158	 	418.017240
4159	 	419.383220
4160	 	419.832460
4647	 	420.192120
4646	 	421.053280
4645	 	422.318170
4644	 	422.962480
4643	 	423.605420
4642	 	427.791600
4641	 	428.996610
4640	 	429.520390
4639	 	430.460670
4638	 	434.421210
4637	 	436.326110
4636	 	437.722450
4635	 	439.205850
4634	 	440.303950
4633	 	440.628910
4632	 	440.933720
4631	 	441.486200
4630	 	444.608460
4629	 	454.381950
4628	 	458.303620
4627	 	459.215300
4626	 	460.092630
4625	 	460.857460
4624	 	461.721430
4650	 	462.646890
4651	 	463.716990
4652	 	464.188650
4653	 	465.265050
5170	 	468.409360
5171	 	469.575640
5172	 	470.659240
5173	 	471.898890
5174	 	473.587560
5175	 	476.014100
5176	 	477.069790
5177	 	478.471740
5178	 	479.919240
5179	 	482.116010
5180	 	483.611270
5181	 	484.937190
5182	 	485.646500
5157	 	486.062090
5696	 	486.276860
5697	 	487.448010
5698	 	489.476800
5699	 	490.181250
5700	 	491.075490
5701	 	491.539510
5702	 	492.842940
5703	 	494.941820
5704	 	496.462690
5705	 	497.990650
5706	 	499.225740
5707	 	499.531060
5708	 	500.644590
5709	 	501.491250
5710	 	502.616160
5711	 	503.864690
5712	 	505.104740
5713	 	505.981440
5714	 	507.237050
5715	 	508.885370
5716	 	511.308670
5717	 	513.351470
5718	 	514.193050
5719	 	515.822790
5720	 	517.021690
5721	 	517.991830
5722	 	520.068050
5723	 	520.978660
5724	 	522.130440
5725	 	523.145370
5695	 	524.493450
5772	 	526.250830
5771	 	527.723400
5770	 	530.570570
5769	 	531.199940
5951	 	534.716430
5952	 	536.958620
5953	 	537.543420
5962	 	537.883340
5963	 	538.170720
5964	 	538.907550
5965	 	539.495600
5966	 	540.786580
5967	 	541.683630
5968	 	543.374690
5969	 	544.501910
5970	 	544.741520
5971	 	545.834310
5972	 	546.013580
6023	 	546.435480
6022	 	547.252300
6021	 	547.693020
6020	 	548.934050
6019	 	549.187410
6018	 	550.286720
6017	 	550.525870
6016	 	552.233370
6015	 	553.092790
6014	 	554.522470
6013	 	555.515990
6012	 	556.493600
5961	 	557.092650
6350	 	558.228690
6351	 	559.961000
6352	 	562.975650
6353	 	565.086970
6354	 	567.679190
6355	 	568.190940
6356	 	568.527600
6357	 	569.535270
6358	 	570.203990
6359	 	570.869710
6360	 	572.210510
6361	 	572.576620
6362	 	574.474340
6363	 	574.895920
6451	 	575.236640
6450	 	577.329890
6449	 	579.138280
6448	 	580.137030
6447	 	581.334020
6446	 	582.272110
6445	 	583.350130
6444	 	584.008640
6443	 	585.254560
6442	 	586.396830
6441	 	587.907890
6440	 	588.344680
6439	 	588.881210
6438	 	589.635340
6437	 	590.750850
6436	 	591.288770
6435	 	592.808530
6434	 	594.153530
6433	 	594.890990
6432	 	595.960090
6427	 	597.050740
7118	 	598.653080
7119	 	601.556130
7120	 	602.402610
7121	 	605.188030
7122	 	605.728460
7123	 	606.277030
7124	 	606.968710
7125	 	610.964760
7126	 	612.037720
7127	 	612.713490
7128	 	614.257500
7129	 	614.597110
7130	 	617.393540
7131	 	619.864170
7132	 	624.587440
7133	 	626.260390
7134	 	628.530500
7135	 	630.577180
7136	 	631.566770
7137	 	632.978520
7286	 	634.025660
7285	 	634.784300
7284	 	636.666220
7283	 	644.412500
7282	 	645.053290
7281	 	647.072230
7280	 	650.182910
7279	 	651.938720
7278	 	653.685410
7277	 	654.821440
7276	 	655.684580
7275	 	656.684630
7274	 	657.624600
7273	 	659.549180
7272	 	660.222550
7446	 	660.644140
7445	 	661.469070
7444	 	663.451360
7443	 	664.675420
7442	 	665.483690
7441	 	668.683290
7440	 	669.855550
7845	 	675.590830
7844	 	676.557520
7843	 	678.173530
7842	 	680.289490
7841	 	680.563730
7840	 	680.815590
7839	 	681.225530
7838	 	681.909580
7837	 	682.193160
7836	 	682.387070
7835	 	682.662570
7834	 	682.847930
7833	 	683.842350
7832	 	684.680340
7831	 	684.962310
7830	 	685.806770
7829	 	687.361150
8109	 	690.832620
8110	 	692.184940
8111	 	694.927980
8112	 	697.337650
8113	 	697.683950
8114	 	698.618750
8211	 	699.337770
8212	 	700.238220
8213	 	706.300560
8838	 	710.435390
8837	 	712.884940
8836	 	714.294780
8835	 	715.411090
8834	 	716.911280
8833	 	717.841440
8832	 	718.943390
8831	 	720.095930
8830	 	721.986940
8829	 	724.020290
8828	 	724.522350
8827	 	725.296740
8826	 	727.940130
8825	 	735.315000
8865	 	736.898980
8864	 	738.896500
9366	 	739.894160
9365	 	741.125310
9364	 	742.192830
9363	 	745.913070
9362	 	747.154530
9361	 	748.021780
9360	 	748.942190
9359	 	751.798620
9358	 	753.358920
9357	 	755.043480
9356	 	755.424710
9355	 	756.786220
9354	 	757.503820
9353	 	758.927020
9352	 	759.615680
9351	 	760.445350
9350	 	761.585940
9349	 	762.956690
9348	 	763.877200
9347	 	765.093770
9346	 	765.736020
9345	 	767.013860
9344	 	767.523340
9343	 	768.328610
9342	 	770.188570
9965	 	771.488890
9966	 	772.793670
9967	 	773.739360
9968	 	774.648930
9969	 	775.544410
9970	 	776.432740
9971	 	777.736060
9972	 	778.034160
9973	 	779.793820
9974	 	780.309730
9975	 	780.970100
9976	 	781.383720
9977	 	782.274600
9978	 	782.536290
9979	 	782.832750
9980	 	784.835370
9981	 	785.951050
9982	 	787.264510
9983	 	788.501060
9984	 	790.246490
9985	 	790.794670
9986	 	791.028930
9987	 	792.029910
9988	 	794.045070
9989	 	795.498430
9990	 	796.875950
9991	 	797.425690
9992	 	798.618230
9993	 	798.846270
9994	 	799.549210
9995	 	800.270070
9996	 	801.285120
9997	 	801.901970
9998	 	802.117490
9999	 	802.687690

 total length:	802.687690
